mandante,visitante,resultado
Santos,Cruzeiro,casa
Corinthians,Fluminense,empate
Atletico-MG,Gremio,fora
Botafogo-RJ,Athletico-PR,casa
Goias,Sport,casa
Internacional,Figueirense,casa
Nautico,Palmeiras,fora
Juventude,Vasco,casa
Sao Paulo,Flamengo,empate
Parana,Figueirense,fora
Juventude,Nautico,empate
Vasco,Athletico-PR,casa
Santos,Botafogo-RJ,casa
Sport,Atletico-MG,casa
Gremio,Palmeiras,empate
Cruzeiro,Goias,casa
America-RN,Internacional,fora
Corinthians,Sao Paulo,empate
Figueirense,Sport,fora
Atletico-MG,America-RN,casa
Athletico-PR,Juventude,casa
Internacional,Corinthians,casa
Nautico,Cruzeiro,fora
Sao Paulo,Fluminense,fora
Flamengo,Parana,fora
Goias,Gremio,empate
Palmeiras,Santos,empate
Botafogo-RJ,Juventude,casa
Atletico-MG,Fluminense,casa
Sao Paulo,Sport,casa
Juventude,Internacional,casa
America-RN,Athletico-PR,casa
Vasco,Atletico-MG,casa
Corinthians,Nautico,fora
Fluminense,Goias,casa
Gremio,Flamengo,casa
Cruzeiro,Sao Paulo,fora
Parana,Palmeiras,casa
Sport,Botafogo-RJ,empate
Santos,Figueirense,casa
Athletico-PR,Cruzeiro,empate
Goias,Santos,casa
Nautico,Gremio,fora
Flamengo,America-RN,casa
Palmeiras,Vasco,casa
Figueirense,Corinthians,empate
Internacional,Parana,casa
Santos,Nautico,fora
Vasco,Goias,casa
Gremio,Athletico-PR,empate
Corinthians,Flamengo,empate
Parana,Atletico-MG,fora
Juventude,Palmeiras,empate
Sport,Internacional,fora
Cruzeiro,Botafogo-RJ,casa
America-RN,Sao Paulo,fora
Fluminense,Figueirense,empate
Nautico,Fluminense,empate
Goias,Parana,casa
Palmeiras,Sport,fora
Botafogo-RJ,America-RN,casa
Atletico-MG,Santos,fora
Athletico-PR,Corinthians,empate
Internacional,Vasco,fora
Sao Paulo,Juventude,casa
Figueirense,Gremio,casa
Sport,Athletico-PR,casa
America-RN,Nautico,fora
Corinthians,Goias,casa
Santos,Flamengo,casa
Cruzeiro,Internacional,casa
Fluminense,Palmeiras,fora
Juventude,Atletico-MG,fora
Gremio,Sao Paulo,fora
Vasco,Figueirense,empate
Parana,Botafogo-RJ,empate
Cruzeiro,Sport,casa
Juventude,Fluminense,empate
Nautico,Figueirense,casa
Goias,Atletico-MG,casa
Athletico-PR,Flamengo,casa
Botafogo-RJ,Sao Paulo,fora
Vasco,Corinthians,casa
Gremio,America-RN,casa
Palmeiras,Internacional,empate
Santos,Parana,casa
Sport,Juventude,casa
Sao Paulo,Athletico-PR,casa
Flamengo,Nautico,casa
Corinthians,Gremio,casa
Atletico-MG,Palmeiras,fora
Figueirense,Botafogo-RJ,empate
Internacional,Goias,casa
America-RN,Cruzeiro,fora
Fluminense,Santos,casa
Parana,Vasco,empate
Botafogo-RJ,Corinthians,fora
Fluminense,Flamengo,fora
Santos,Sport,casa
Athletico-PR,Figueirense,empate
Gremio,Parana,casa
Palmeiras,Flamengo,casa
Nautico,Atletico-MG,fora
Juventude,Corinthians,empate
Vasco,America-RN,casa
Botafogo-RJ,Internacional,empate
Cruzeiro,Fluminense,casa
Goias,Sao Paulo,empate
Flamengo,Juventude,casa
Corinthians,Cruzeiro,fora
Fluminense,Gremio,empate
Internacional,Athletico-PR,casa
Atletico-MG,Botafogo-RJ,fora
Sao Paulo,Nautico,casa
Parana,Juventude,casa
Figueirense,Palmeiras,fora
America-RN,Santos,fora
Sport,Vasco,empate
Flamengo,Goias,casa
Parana,Cruzeiro,empate
Juventude,Goias,casa
Botafogo-RJ,Flamengo,empate
Figueirense,America-RN,casa
Palmeiras,Sao Paulo,fora
Atletico-MG,Corinthians,casa
Sport,Gremio,casa
Internacional,Fluminense,fora
Santos,Athletico-PR,casa
Vasco,Nautico,casa
Sao Paulo,Parana,casa
Flamengo,Sport,empate
America-RN,Juventude,fora
Corinthians,Santos,casa
Cruzeiro,Palmeiras,casa
Athletico-PR,Atletico-MG,casa
Gremio,Botafogo-RJ,casa
Goias,Figueirense,casa
Fluminense,Vasco,empate
Nautico,Internacional,empate
Corinthians,America-RN,casa
Goias,Athletico-PR,fora
Flamengo,Figueirense,casa
Juventude,Cruzeiro,casa
Santos,Internacional,casa
Atletico-MG,Sao Paulo,empate
Gremio,Vasco,casa
Parana,Nautico,fora
Botafogo-RJ,Palmeiras,empate
Sport,Fluminense,fora
Figueirense,Atletico-MG,casa
Internacional,Flamengo,casa
Vasco,Sao Paulo,fora
Cruzeiro,Gremio,casa
Santos,Juventude,casa
Parana,Corinthians,casa
Fluminense,Athletico-PR,casa
America-RN,Sport,empate
Palmeiras,Goias,casa
Nautico,Botafogo-RJ,casa
Flamengo,Cruzeiro,casa
Goias,Nautico,fora
Fluminense,America-RN,casa
Sao Paulo,Santos,casa
Corinthians,Botafogo-RJ,fora
Athletico-PR,Palmeiras,casa
Sport,Parana,casa
Atletico-MG,Cruzeiro,fora
Figueirense,Juventude,casa
Flamengo,Vasco,empate
Gremio,Internacional,casa
Sao Paulo,Figueirense,casa
Gremio,Santos,casa
Goias,America-RN,empate
Juventude,Flamengo,empate
Nautico,Sport,casa
Palmeiras,Corinthians,casa
Atletico-MG,Internacional,empate
Athletico-PR,Parana,casa
Botafogo-RJ,Fluminense,fora
Vasco,Cruzeiro,fora
Nautico,Athletico-PR,casa
Corinthians,Sport,fora
Flamengo,Atletico-MG,casa
Santos,Vasco,casa
Botafogo-RJ,Goias,fora
Internacional,Sao Paulo,fora
Juventude,Gremio,fora
Cruzeiro,Figueirense,fora
America-RN,Palmeiras,empate
Parana,Fluminense,casa
Palmeiras,Nautico,casa
Sport,Goias,casa
Gremio,Atletico-MG,empate
Vasco,Juventude,fora
Athletico-PR,Botafogo-RJ,casa
Fluminense,Corinthians,empate
Cruzeiro,Santos,fora
Flamengo,Sao Paulo,casa
America-RN,Parana,casa
Figueirense,Internacional,empate
Palmeiras,Gremio,casa
Botafogo-RJ,Santos,fora
Nautico,Juventude,casa
Sao Paulo,Corinthians,fora
Athletico-PR,Vasco,casa
Atletico-MG,Sport,casa
Internacional,America-RN,casa
Goias,Cruzeiro,empate
Figueirense,Parana,casa
Flamengo,Fluminense,fora
Sport,Figueirense,empate
Cruzeiro,Nautico,empate
Juventude,Athletico-PR,empate
Corinthians,Internacional,empate
Parana,Flamengo,fora
Fluminense,Sao Paulo,empate
America-RN,Atletico-MG,fora
Santos,Palmeiras,empate
Gremio,Goias,casa
Vasco,Botafogo-RJ,casa
Vasco,Flamengo,fora
Palmeiras,Parana,casa
Goias,Fluminense,casa
Botafogo-RJ,Sport,casa
Nautico,Corinthians,casa
Atletico-MG,Vasco,casa
Sao Paulo,Cruzeiro,casa
Athletico-PR,America-RN,casa
Figueirense,Santos,casa
Internacional,Juventude,casa
Flamengo,Gremio,casa
Fluminense,Atletico-MG,empate
Cruzeiro,Athletico-PR,empate
Santos,Goias,casa
Sport,Sao Paulo,fora
America-RN,Flamengo,fora
Gremio,Nautico,casa
Corinthians,Figueirense,casa
Parana,Internacional,casa
Juventude,Botafogo-RJ,empate
Vasco,Palmeiras,empate
Athletico-PR,Gremio,casa
Figueirense,Fluminense,fora
Atletico-MG,Parana,empate
Goias,Vasco,fora
Nautico,Santos,fora
Flamengo,Corinthians,casa
Sao Paulo,America-RN,casa
Botafogo-RJ,Cruzeiro,casa
Palmeiras,Juventude,fora
Internacional,Sport,empate
Parana,Goias,casa
Fluminense,Nautico,casa
Gremio,Figueirense,fora
Santos,Atletico-MG,empate
Cruzeiro,Flamengo,casa
Corinthians,Athletico-PR,empate
America-RN,Botafogo-RJ,empate
Sport,Palmeiras,casa
Vasco,Internacional,fora
Juventude,Sao Paulo,casa
Botafogo-RJ,Parana,casa
Nautico,America-RN,casa
Internacional,Cruzeiro,casa
Goias,Corinthians,empate
Figueirense,Vasco,empate
Athletico-PR,Sport,empate
Atletico-MG,Juventude,casa
Sao Paulo,Gremio,casa
Flamengo,Santos,casa
Palmeiras,Fluminense,casa
America-RN,Gremio,fora
Fluminense,Juventude,casa
Sao Paulo,Botafogo-RJ,empate
Internacional,Palmeiras,casa
Parana,Santos,fora
Sport,Cruzeiro,casa
Flamengo,Athletico-PR,casa
Atletico-MG,Goias,casa
Figueirense,Nautico,casa
Corinthians,Vasco,fora
Athletico-PR,Sao Paulo,casa
Santos,Fluminense,fora
Nautico,Flamengo,casa
Palmeiras,Atletico-MG,fora
Cruzeiro,America-RN,casa
Gremio,Corinthians,empate
Goias,Internacional,casa
Vasco,Parana,casa
Botafogo-RJ,Figueirense,empate
Juventude,Sport,casa
Nautico,Goias,casa
Sao Paulo,Gremio,fora
Vitoria,Cruzeiro,fora
Coritiba,Palmeiras,casa
Internacional,Vasco,casa
Botafogo-RJ,Sport,casa
Ipatinga,Athletico-PR,fora
Portuguesa,Figueirense,empate
Atletico-MG,Fluminense,empate
Flamengo,Santos,casa
Cruzeiro,Botafogo-RJ,casa
Sport,Vitoria,empate
Vasco,Portuguesa,casa
Gremio,Flamengo,empate
Athletico-PR,Sao Paulo,empate
Fluminense,Nautico,fora
Goias,Atletico-MG,empate
Figueirense,Coritiba,casa
Palmeiras,Internacional,casa
Santos,Ipatinga,casa
Gremio,Nautico,casa
Flamengo,Internacional,casa
Vitoria,Figueirense,casa
Cruzeiro,Santos,casa
Sao Paulo,Coritiba,empate
Sport,Fluminense,casa
Goias,Ipatinga,empate
Athletico-PR,Atletico-MG,empate
Portuguesa,Palmeiras,empate
Botafogo-RJ,Vasco,empate
Vasco,Gremio,casa
Internacional,Sport,empate
Figueirense,Goias,empate
Santos,Sao Paulo,empate
Coritiba,Cruzeiro,empate
Nautico,Botafogo-RJ,casa
Ipatinga,Vitoria,casa
Palmeiras,Athletico-PR,casa
Atletico-MG,Portuguesa,casa
Fluminense,Flamengo,fora
Sao Paulo,Atletico-MG,casa
Flamengo,Figueirense,casa
Ipatinga,Nautico,empate
Portuguesa,Internacional,casa
Gremio,Fluminense,casa
Sport,Palmeiras,casa
Athletico-PR,Goias,casa
Botafogo-RJ,Coritiba,casa
Cruzeiro,Vasco,casa
Vitoria,Santos,casa
Fluminense,Santos,empate
Palmeiras,Cruzeiro,casa
Atletico-MG,Ipatinga,casa
Flamengo,Sao Paulo,fora
Internacional,Botafogo-RJ,casa
Figueirense,Sport,casa
Portuguesa,Athletico-PR,casa
Coritiba,Vitoria,empate
Nautico,Vasco,empate
Goias,Gremio,fora
Botafogo-RJ,Portuguesa,fora
Sao Paulo,Sport,casa
Cruzeiro,Figueirense,casa
Coritiba,Fluminense,casa
Ipatinga,Flamengo,fora
Vitoria,Internacional,casa
Vasco,Palmeiras,fora
Gremio,Athletico-PR,casa
Santos,Goias,fora
Nautico,Atletico-MG,casa
Vasco,Ipatinga,casa
Vitoria,Goias,casa
Portuguesa,Santos,empate
Cruzeiro,Sao Paulo,empate
Figueirense,Atletico-MG,empate
Sport,Flamengo,fora
Athletico-PR,Coritiba,empate
Gremio,Internacional,empate
Fluminense,Botafogo-RJ,empate
Palmeiras,Nautico,casa
Sport,Cruzeiro,casa
Athletico-PR,Santos,casa
Flamengo,Nautico,casa
Figueirense,Vasco,casa
Portuguesa,Vitoria,fora
Atletico-MG,Palmeiras,empate
Internacional,Coritiba,casa
Botafogo-RJ,Gremio,casa
Sao Paulo,Ipatinga,empate
Goias,Fluminense,casa
Sao Paulo,Palmeiras,casa
Cruzeiro,Atletico-MG,casa
Athletico-PR,Internacional,empate
Santos,Botafogo-RJ,empate
Ipatinga,Figueirense,fora
Gremio,Portuguesa,casa
Nautico,Sport,fora
Flamengo,Vasco,casa
Internacional,Goias,casa
Coritiba,Portuguesa,casa
Fluminense,Athletico-PR,casa
Vitoria,Botafogo-RJ,casa
Atletico-MG,Flamengo,empate
Santos,Gremio,empate
Nautico,Sao Paulo,casa
Palmeiras,Figueirense,empate
Ipatinga,Cruzeiro,empate
Vasco,Sport,casa
Fluminense,Vitoria,casa
Goias,Coritiba,empate
Sport,Gremio,empate
Botafogo-RJ,Ipatinga,casa
Figueirense,Santos,casa
Portuguesa,Nautico,casa
Cruzeiro,Athletico-PR,casa
Palmeiras,Fluminense,casa
Vitoria,Sao Paulo,fora
Vasco,Goias,empate
Internacional,Atletico-MG,casa
Coritiba,Flamengo,casa
Palmeiras,Santos,casa
Figueirense,Gremio,fora
Sport,Athletico-PR,casa
Ipatinga,Portuguesa,casa
Fluminense,Figueirense,casa
Gremio,Cruzeiro,casa
Athletico-PR,Vasco,casa
Goias,Palmeiras,casa
Santos,Sport,casa
Nautico,Internacional,empate
Flamengo,Vitoria,fora
Sao Paulo,Botafogo-RJ,casa
Atletico-MG,Coritiba,casa
Coritiba,Ipatinga,casa
Cruzeiro,Goias,fora
Vitoria,Nautico,casa
Vasco,Fluminense,empate
Internacional,Sao Paulo,casa
Portuguesa,Flamengo,empate
Botafogo-RJ,Atletico-MG,casa
Nautico,Coritiba,fora
Ipatinga,Internacional,casa
Fluminense,Cruzeiro,fora
Santos,Vasco,casa
Gremio,Palmeiras,empate
Athletico-PR,Figueirense,empate
Goias,Sport,fora
Atletico-MG,Vitoria,casa
Flamengo,Botafogo-RJ,empate
Sao Paulo,Portuguesa,casa
Cruzeiro,Nautico,casa
Vitoria,Athletico-PR,casa
Portuguesa,Fluminense,casa
Botafogo-RJ,Goias,casa
Palmeiras,Flamengo,casa
Figueirense,Sao Paulo,empate
Internacional,Santos,fora
Sport,Ipatinga,casa
Vasco,Atletico-MG,casa
Coritiba,Gremio,fora
Goias,Portuguesa,casa
Nautico,Figueirense,fora
Fluminense,Internacional,fora
Gremio,Vitoria,casa
Ipatinga,Palmeiras,fora
Flamengo,Cruzeiro,fora
Sao Paulo,Vasco,casa
Santos,Coritiba,fora
Atletico-MG,Sport,casa
Athletico-PR,Botafogo-RJ,fora
Gremio,Ipatinga,casa
Vasco,Coritiba,fora
Athletico-PR,Nautico,casa
Sport,Portuguesa,casa
Santos,Atletico-MG,fora
Goias,Flamengo,casa
Fluminense,Sao Paulo,casa
Palmeiras,Vitoria,casa
Figueirense,Botafogo-RJ,fora
Cruzeiro,Internacional,casa
Flamengo,Athletico-PR,casa
Sao Paulo,Goias,casa
Atletico-MG,Gremio,fora
Coritiba,Sport,casa
Vitoria,Vasco,casa
Portuguesa,Cruzeiro,casa
Botafogo-RJ,Palmeiras,casa
Ipatinga,Fluminense,casa
Nautico,Santos,casa
Internacional,Figueirense,empate
Athletico-PR,Ipatinga,casa
Figueirense,Portuguesa,casa
Cruzeiro,Vitoria,casa
Gremio,Sao Paulo,casa
Santos,Flamengo,empate
Vasco,Internacional,casa
Goias,Nautico,casa
Fluminense,Atletico-MG,casa
Sport,Botafogo-RJ,fora
Palmeiras,Coritiba,casa
Vitoria,Sport,empate
Coritiba,Figueirense,casa
Botafogo-RJ,Cruzeiro,casa
Sao Paulo,Athletico-PR,casa
Internacional,Palmeiras,casa
Nautico,Fluminense,fora
Ipatinga,Santos,empate
Portuguesa,Vasco,fora
Atletico-MG,Goias,empate
Flamengo,Gremio,casa
Fluminense,Sport,empate
Figueirense,Vitoria,fora
Coritiba,Sao Paulo,empate
Palmeiras,Portuguesa,casa
Internacional,Flamengo,empate
Santos,Cruzeiro,casa
Ipatinga,Goias,casa
Vasco,Botafogo-RJ,empate
Atletico-MG,Athletico-PR,casa
Nautico,Gremio,empate
Goias,Figueirense,casa
Vitoria,Ipatinga,empate
Botafogo-RJ,Nautico,empate
Gremio,Vasco,casa
Sport,Internacional,casa
Athletico-PR,Palmeiras,fora
Sao Paulo,Santos,empate
Portuguesa,Atletico-MG,empate
Cruzeiro,Coritiba,empate
Flamengo,Fluminense,empate
Goias,Athletico-PR,casa
Santos,Vitoria,casa
Figueirense,Flamengo,fora
Atletico-MG,Sao Paulo,empate
Palmeiras,Sport,fora
Vasco,Cruzeiro,fora
Internacional,Portuguesa,casa
Fluminense,Gremio,empate
Nautico,Ipatinga,casa
Coritiba,Botafogo-RJ,fora
Gremio,Goias,fora
Athletico-PR,Portuguesa,casa
Ipatinga,Atletico-MG,casa
Cruzeiro,Palmeiras,fora
Sao Paulo,Flamengo,casa
Sport,Figueirense,casa
Vasco,Nautico,fora
Santos,Fluminense,casa
Vitoria,Coritiba,casa
Botafogo-RJ,Internacional,fora
Goias,Santos,casa
Fluminense,Coritiba,fora
Atletico-MG,Nautico,casa
Sport,Sao Paulo,empate
Athletico-PR,Gremio,empate
Portuguesa,Botafogo-RJ,casa
Figueirense,Cruzeiro,fora
Palmeiras,Vasco,casa
Internacional,Vitoria,casa
Flamengo,Ipatinga,casa
Goias,Vitoria,casa
Flamengo,Sport,casa
Atletico-MG,Figueirense,empate
Coritiba,Athletico-PR,empate
Nautico,Palmeiras,empate
Sao Paulo,Cruzeiro,casa
Ipatinga,Vasco,casa
Internacional,Gremio,casa
Santos,Portuguesa,empate
Botafogo-RJ,Fluminense,empate
Fluminense,Goias,empate
Vitoria,Portuguesa,casa
Cruzeiro,Sport,casa
Gremio,Botafogo-RJ,casa
Ipatinga,Sao Paulo,fora
Palmeiras,Atletico-MG,casa
Nautico,Flamengo,fora
Santos,Athletico-PR,casa
Coritiba,Internacional,casa
Vasco,Figueirense,fora
Gremio,Santos,casa
Sport,Vasco,empate
Figueirense,Palmeiras,empate
Botafogo-RJ,Vitoria,casa
Sao Paulo,Nautico,casa
Cruzeiro,Ipatinga,casa
Goias,Internacional,empate
Portuguesa,Coritiba,empate
Athletico-PR,Fluminense,fora
Flamengo,Atletico-MG,fora
Botafogo-RJ,Santos,fora
Internacional,Athletico-PR,casa
Figueirense,Ipatinga,empate
Palmeiras,Sao Paulo,empate
Vitoria,Fluminense,empate
Coritiba,Goias,empate
Atletico-MG,Cruzeiro,fora
Portuguesa,Gremio,casa
Sport,Nautico,empate
Vasco,Flamengo,fora
Goias,Vasco,fora
Gremio,Sport,casa
Flamengo,Coritiba,casa
Sao Paulo,Vitoria,casa
Fluminense,Palmeiras,casa
Ipatinga,Botafogo-RJ,fora
Santos,Figueirense,casa
Athletico-PR,Cruzeiro,casa
Nautico,Portuguesa,empate
Atletico-MG,Internacional,empate
Portuguesa,Ipatinga,casa
Coritiba,Atletico-MG,casa
Internacional,Nautico,empate
Palmeiras,Goias,casa
Botafogo-RJ,Sao Paulo,fora
Cruzeiro,Gremio,casa
Vitoria,Flamengo,empate
Sport,Santos,empate
Vasco,Athletico-PR,empate
Flamengo,Portuguesa,empate
Nautico,Vitoria,casa
Ipatinga,Coritiba,casa
Santos,Palmeiras,fora
Goias,Cruzeiro,casa
Athletico-PR,Sport,casa
Atletico-MG,Botafogo-RJ,casa
Fluminense,Vasco,fora
Gremio,Figueirense,empate
Sao Paulo,Internacional,casa
Figueirense,Fluminense,fora
Portuguesa,Sao Paulo,fora
Vasco,Santos,casa
Figueirense,Athletico-PR,fora
Palmeiras,Gremio,fora
Cruzeiro,Fluminense,casa
Coritiba,Nautico,empate
Sport,Goias,casa
Botafogo-RJ,Flamengo,fora
Internacional,Ipatinga,casa
Vitoria,Atletico-MG,fora
Atletico-MG,Vasco,casa
Fluminense,Portuguesa,casa
Ipatinga,Sport,casa
Nautico,Cruzeiro,casa
Flamengo,Palmeiras,casa
Sao Paulo,Figueirense,casa
Goias,Botafogo-RJ,casa
Gremio,Coritiba,casa
Athletico-PR,Vitoria,casa
Santos,Internacional,casa
Figueirense,Nautico,casa
Botafogo-RJ,Athletico-PR,empate
Portuguesa,Goias,empate
Coritiba,Santos,casa
Vitoria,Gremio,casa
Cruzeiro,Flamengo,casa
Vasco,Sao Paulo,fora
Internacional,Fluminense,fora
Sport,Atletico-MG,casa
Palmeiras,Ipatinga,casa
Coritiba,Vasco,fora
Botafogo-RJ,Figueirense,fora
Portuguesa,Sport,empate
Nautico,Athletico-PR,casa
Atletico-MG,Santos,empate
Internacional,Cruzeiro,casa
Vitoria,Palmeiras,empate
Flamengo,Goias,empate
Ipatinga,Gremio,fora
Sao Paulo,Fluminense,empate
Santos,Nautico,empate
Vasco,Vitoria,fora
Figueirense,Internacional,casa
Athletico-PR,Flamengo,casa
Sport,Coritiba,casa
Cruzeiro,Portuguesa,casa
Fluminense,Ipatinga,empate
Palmeiras,Botafogo-RJ,fora
Gremio,Atletico-MG,casa
Goias,Sao Paulo,fora
Sport,Barueri,empate
Palmeiras,Coritiba,casa
Avai,Atletico-MG,empate
Corinthians,Internacional,fora
Fluminense,Sao Paulo,casa
Athletico-PR,Vitoria,fora
Cruzeiro,Flamengo,casa
Gremio,Santos,empate
Santo Andre,Botafogo-RJ,empate
Goias,Nautico,empate
Coritiba,Santo Andre,fora
Atletico-MG,Gremio,casa
Flamengo,Avai,empate
Santos,Goias,empate
Sao Paulo,Athletico-PR,empate
Barueri,Fluminense,empate
Internacional,Palmeiras,casa
Botafogo-RJ,Corinthians,empate
Vitoria,Sport,casa
Nautico,Cruzeiro,casa
Corinthians,Barueri,casa
Cruzeiro,Vitoria,casa
Goias,Internacional,fora
Palmeiras,Sao Paulo,empate
Fluminense,Santos,fora
Athletico-PR,Nautico,fora
Gremio,Botafogo-RJ,casa
Sport,Atletico-MG,fora
Avai,Coritiba,empate
Santo Andre,Flamengo,fora
Botafogo-RJ,Sport,empate
Coritiba,Goias,fora
Atletico-MG,Santo Andre,empate
Sao Paulo,Cruzeiro,casa
Santos,Corinthians,casa
Flamengo,Athletico-PR,casa
Nautico,Fluminense,empate
Vitoria,Gremio,casa
Barueri,Palmeiras,empate
Internacional,Avai,casa
Goias,Corinthians,empate
Fluminense,Gremio,empate
Coritiba,Flamengo,casa
Atletico-MG,Nautico,casa
Barueri,Avai,casa
Palmeiras,Cruzeiro,casa
Internacional,Vitoria,empate
Gremio,Nautico,casa
Santo Andre,Santos,empate
Corinthians,Coritiba,casa
Palmeiras,Vitoria,casa
Athletico-PR,Atletico-MG,fora
Sport,Flamengo,casa
Avai,Sao Paulo,empate
Cruzeiro,Internacional,empate
Goias,Barueri,empate
Fluminense,Botafogo-RJ,casa
Sao Paulo,Santo Andre,empate
Sport,Athletico-PR,fora
Botafogo-RJ,Santos,casa
Athletico-PR,Palmeiras,empate
Vitoria,Botafogo-RJ,casa
Santo Andre,Sport,casa
Gremio,Goias,empate
Avai,Fluminense,casa
Nautico,Coritiba,fora
Corinthians,Sao Paulo,casa
Santos,Atletico-MG,fora
Cruzeiro,Barueri,fora
Flamengo,Internacional,casa
Athletico-PR,Corinthians,casa
Barueri,Atletico-MG,casa
Sao Paulo,Nautico,casa
Cruzeiro,Avai,casa
Botafogo-RJ,Goias,fora
Palmeiras,Santos,empate
Internacional,Coritiba,casa
Vitoria,Santo Andre,casa
Sport,Gremio,casa
Fluminense,Flamengo,empate
Santos,Sport,casa
Santo Andre,Barueri,empate
Flamengo,Vitoria,casa
Coritiba,Sao Paulo,casa
Goias,Cruzeiro,casa
Atletico-MG,Botafogo-RJ,empate
Gremio,Athletico-PR,casa
Avai,Palmeiras,fora
Nautico,Internacional,fora
Corinthians,Fluminense,casa
Avai,Botafogo-RJ,fora
Barueri,Coritiba,casa
Palmeiras,Nautico,casa
Cruzeiro,Atletico-MG,fora
Athletico-PR,Internacional,casa
Gremio,Corinthians,casa
Sao Paulo,Flamengo,empate
Vitoria,Santos,casa
Sport,Goias,casa
Fluminense,Santo Andre,fora
Goias,Avai,fora
Coritiba,Gremio,casa
Santos,Barueri,empate
Santo Andre,Athletico-PR,casa
Flamengo,Palmeiras,fora
Internacional,Fluminense,casa
Atletico-MG,Sao Paulo,casa
Corinthians,Sport,casa
Nautico,Vitoria,empate
Fluminense,Goias,fora
Palmeiras,Santo Andre,casa
Gremio,Internacional,casa
Sao Paulo,Santos,casa
Athletico-PR,Coritiba,empate
Vitoria,Atletico-MG,empate
Cruzeiro,Corinthians,fora
Barueri,Nautico,casa
Sport,Avai,fora
Botafogo-RJ,Flamengo,empate
Flamengo,Barueri,empate
Santo Andre,Cruzeiro,fora
Avai,Gremio,casa
Santos,Athletico-PR,casa
Goias,Palmeiras,casa
Internacional,Sao Paulo,empate
Nautico,Botafogo-RJ,empate
Atletico-MG,Fluminense,casa
Coritiba,Sport,empate
Corinthians,Vitoria,casa
Gremio,Santo Andre,casa
Athletico-PR,Avai,fora
Botafogo-RJ,Internacional,casa
Santos,Flamengo,fora
Corinthians,Palmeiras,fora
Atletico-MG,Goias,fora
Sport,Nautico,empate
Fluminense,Cruzeiro,empate
Vitoria,Coritiba,casa
Barueri,Sao Paulo,fora
Nautico,Santos,fora
Coritiba,Botafogo-RJ,empate
Goias,Athletico-PR,casa
Internacional,Barueri,casa
Cruzeiro,Sport,casa
Santo Andre,Corinthians,empate
Palmeiras,Fluminense,casa
Avai,Vitoria,casa
Flamengo,Atletico-MG,casa
Sao Paulo,Gremio,casa
Sport,Palmeiras,fora
Botafogo-RJ,Barueri,casa
Flamengo,Nautico,empate
Corinthians,Avai,empate
Vitoria,Sao Paulo,fora
Athletico-PR,Fluminense,casa
Santo Andre,Goias,fora
Gremio,Cruzeiro,casa
Atletico-MG,Coritiba,casa
Cruzeiro,Athletico-PR,fora
Avai,Santo Andre,casa
Sao Paulo,Botafogo-RJ,casa
Nautico,Corinthians,casa
Coritiba,Santos,fora
Goias,Flamengo,casa
Palmeiras,Gremio,empate
Fluminense,Sport,casa
Barueri,Vitoria,casa
Santos,Avai,empate
Nautico,Santo Andre,casa
Botafogo-RJ,Athletico-PR,fora
Flamengo,Corinthians,casa
Vitoria,Fluminense,empate
Coritiba,Cruzeiro,fora
Sao Paulo,Goias,casa
Barueri,Gremio,casa
Internacional,Sport,casa
Atletico-MG,Palmeiras,empate
Avai,Nautico,casa
Santo Andre,Internacional,fora
Palmeiras,Botafogo-RJ,empate
Fluminense,Coritiba,fora
Gremio,Flamengo,casa
Corinthians,Atletico-MG,casa
Sport,Sao Paulo,fora
Goias,Vitoria,casa
Athletico-PR,Barueri,casa
Cruzeiro,Santos,empate
Santos,Gremio,casa
Vitoria,Athletico-PR,casa
Botafogo-RJ,Santo Andre,fora
Barueri,Sport,casa
Sao Paulo,Fluminense,casa
Coritiba,Palmeiras,casa
Internacional,Corinthians,fora
Flamengo,Cruzeiro,fora
Nautico,Goias,casa
Atletico-MG,Avai,empate
Palmeiras,Internacional,casa
Santo Andre,Coritiba,casa
Sport,Vitoria,casa
Corinthians,Botafogo-RJ,empate
Athletico-PR,Sao Paulo,casa
Gremio,Atletico-MG,casa
Fluminense,Barueri,empate
Goias,Santos,casa
Cruzeiro,Nautico,casa
Avai,Flamengo,casa
Santos,Internacional,empate
Barueri,Corinthians,empate
Botafogo-RJ,Cruzeiro,empate
Coritiba,Avai,casa
Flamengo,Santo Andre,casa
Nautico,Athletico-PR,casa
Sao Paulo,Palmeiras,empate
Santos,Fluminense,casa
Atletico-MG,Sport,empate
Vitoria,Cruzeiro,empate
Internacional,Goias,casa
Botafogo-RJ,Gremio,empate
Internacional,Atletico-MG,casa
Corinthians,Santos,casa
Palmeiras,Barueri,casa
Gremio,Vitoria,empate
Sport,Botafogo-RJ,casa
Athletico-PR,Flamengo,empate
Cruzeiro,Sao Paulo,fora
Goias,Coritiba,empate
Avai,Internacional,fora
Fluminense,Nautico,empate
Santo Andre,Atletico-MG,fora
Sao Paulo,Avai,casa
Flamengo,Sport,casa
Santos,Santo Andre,casa
Atletico-MG,Athletico-PR,casa
Vitoria,Palmeiras,casa
Internacional,Cruzeiro,fora
Botafogo-RJ,Fluminense,empate
Nautico,Gremio,fora
Barueri,Goias,casa
Coritiba,Corinthians,empate
Athletico-PR,Sport,casa
Vitoria,Internacional,casa
Nautico,Atletico-MG,empate
Gremio,Fluminense,casa
Santo Andre,Sao Paulo,empate
Avai,Barueri,casa
Flamengo,Coritiba,casa
