mandante,visitante,resultado
Fluminense,Sao Paulo,fora
Gremio,Cruzeiro,fora
Vitoria,Santos,casa
Flamengo,Fortaleza,fora
Juventude,Figueirense,fora
Bahia,Sao Caetano,empate
Coritiba,Fluminense,casa
Guarani,Vitoria,empate
Internacional,Atletico-MG,empate
Santos,Ponte Preta,casa
Cruzeiro,Vasco,casa
Goias,Corinthians,empate
Paysandu,Gremio,empate
Sao Paulo,Athletico-PR,casa
Fluminense,Santos,fora
Corinthians,Guarani,casa
Fortaleza,Atletico-MG,casa
Internacional,Figueirense,casa
Juventude,Paysandu,casa
Athletico-PR,Bahia,casa
Ponte Preta,Coritiba,empate
Criciuma,Flamengo,casa
Goias,Sao Caetano,casa
Vitoria,Sao Paulo,fora
Cruzeiro,Parana,casa
Vasco,Gremio,casa
Parana,Fortaleza,casa
Atletico-MG,Juventude,casa
Paysandu,Cruzeiro,casa
Guarani,Athletico-PR,casa
Figueirense,Vasco,empate
Santos,Goias,empate
Bahia,Corinthians,empate
Coritiba,Vitoria,empate
Gremio,Criciuma,fora
Flamengo,Internacional,casa
Sao Caetano,Fluminense,casa
Sao Paulo,Ponte Preta,fora
Santos,Vasco,casa
Goias,Atletico-MG,empate
Athletico-PR,Paysandu,empate
Fortaleza,Ponte Preta,fora
Juventude,Fluminense,casa
Flamengo,Sao Paulo,empate
Criciuma,Coritiba,fora
Guarani,Figueirense,casa
Vitoria,Parana,fora
Corinthians,Gremio,casa
Cruzeiro,Bahia,casa
Internacional,Sao Caetano,empate
Athletico-PR,Santos,fora
Goias,Ponte Preta,empate
Parana,Criciuma,casa
Fluminense,Cruzeiro,empate
Gremio,Santos,casa
Sao Paulo,Internacional,fora
Sao Caetano,Juventude,empate
Figueirense,Goias,fora
Parana,Corinthians,empate
Paysandu,Guarani,casa
Coritiba,Fortaleza,empate
Bahia,Criciuma,empate
Ponte Preta,Flamengo,empate
Vasco,Athletico-PR,casa
Atletico-MG,Vitoria,casa
Vitoria,Paysandu,empate
Athletico-PR,Parana,casa
Criciuma,Sao Caetano,fora
Fortaleza,Fluminense,casa
Juventude,Ponte Preta,empate
Santos,Atletico-MG,empate
Goias,Vasco,casa
Cruzeiro,Sao Paulo,empate
Flamengo,Bahia,casa
Corinthians,Figueirense,fora
Guarani,Gremio,casa
Internacional,Coritiba,casa
Fluminense,Criciuma,empate
Sao Caetano,Cruzeiro,casa
Parana,Santos,fora
Sao Paulo,Juventude,casa
Paysandu,Goias,empate
Ponte Preta,Internacional,fora
Coritiba,Flamengo,casa
Atletico-MG,Corinthians,fora
Figueirense,Vitoria,fora
Bahia,Fortaleza,casa
Vasco,Guarani,empate
Gremio,Athletico-PR,empate
Vasco,Vitoria,casa
Bahia,Internacional,fora
Figueirense,Santos,casa
Coritiba,Juventude,casa
Atletico-MG,Athletico-PR,fora
Sao Paulo,Criciuma,empate
Paysandu,Corinthians,empate
Sao Caetano,Fortaleza,casa
Ponte Preta,Cruzeiro,fora
Parana,Guarani,empate
Gremio,Goias,fora
Fluminense,Flamengo,fora
Flamengo,Sao Caetano,casa
Goias,Parana,casa
Juventude,Bahia,casa
Cruzeiro,Coritiba,empate
Athletico-PR,Figueirense,fora
Vitoria,Gremio,casa
Santos,Paysandu,casa
Fortaleza,Sao Paulo,fora
Corinthians,Vasco,empate
Internacional,Fluminense,fora
Guarani,Atletico-MG,empate
Criciuma,Ponte Preta,casa
Santos,Flamengo,casa
Athletico-PR,Fortaleza,casa
Goias,Cruzeiro,casa
Gremio,Sao Caetano,empate
Vasco,Sao Paulo,casa
Paysandu,Ponte Preta,casa
Parana,Fluminense,casa
Vitoria,Juventude,casa
Guarani,Criciuma,casa
Figueirense,Coritiba,fora
Corinthians,Internacional,casa
Atletico-MG,Bahia,casa
Fluminense,Gremio,casa
